code,reference,severity,detail
UNVERIFIED_EVIDENCE,OF:row:18:PAYMENT,WARNING,رویداد قابل احتساب نیست؛ اصل داده حفظ شد
UNVERIFIED_EVIDENCE,OF:row:18:SHIPMENT,WARNING,رویداد قابل احتساب نیست؛ اصل داده حفظ شد
UNVERIFIED_EVIDENCE,OF:row:18:REGISTRATION,WARNING,رویداد قابل احتساب نیست؛ اصل داده حفظ شد
UNVERIFIED_EVIDENCE,OF:row:19:PAYMENT,WARNING,رویداد قابل احتساب نیست؛ اصل داده حفظ شد
UNVERIFIED_EVIDENCE,OF:row:19:SHIPMENT,WARNING,رویداد قابل احتساب نیست؛ اصل داده حفظ شد
UNVERIFIED_EVIDENCE,OF:row:19:REGISTRATION,WARNING,رویداد قابل احتساب نیست؛ اصل داده حفظ شد
UNVERIFIED_EVIDENCE,OF:row:20:PAYMENT,WARNING,رویداد قابل احتساب نیست؛ اصل داده حفظ شد
UNVERIFIED_EVIDENCE,OF:row:20:SHIPMENT,WARNING,رویداد قابل احتساب نیست؛ اصل داده حفظ شد
UNVERIFIED_EVIDENCE,OF:row:20:REGISTRATION,WARNING,رویداد قابل احتساب نیست؛ اصل داده حفظ شد
UNVERIFIED_EVIDENCE,OF:row:21:PAYMENT,WARNING,رویداد قابل احتساب نیست؛ اصل داده حفظ شد
UNVERIFIED_EVIDENCE,OF:row:21:SHIPMENT,WARNING,رویداد قابل احتساب نیست؛ اصل داده حفظ شد
UNVERIFIED_EVIDENCE,OF:row:21:REGISTRATION,WARNING,رویداد قابل احتساب نیست؛ اصل داده حفظ شد
UNVERIFIED_EVIDENCE,OF:row:22:PAYMENT,WARNING,رویداد قابل احتساب نیست؛ اصل داده حفظ شد
UNVERIFIED_EVIDENCE,OF:row:22:SHIPMENT,WARNING,رویداد قابل احتساب نیست؛ اصل داده حفظ شد
UNVERIFIED_EVIDENCE,OF:row:22:REGISTRATION,WARNING,رویداد قابل احتساب نیست؛ اصل داده حفظ شد
