timestamp,ret,equity,drawdown,benchmark_equity,active_ret
2024-05-11,0.0,100000000.0,0.0,100000000.0,0.0
2024-05-12,0.0,100000000.0,0.0,96792050.86003041,0.0320794913996959
2024-05-13,0.0,100000000.0,0.0,99232608.05106145,-0.025214438265806605
2024-05-14,0.0,100000000.0,0.0,102338397.25586855,-0.03129807092451875
2024-05-15,0.0,100000000.0,0.0,96071897.2782833,0.06123312603692266
2024-05-16,0.0,100000000.0,0.0,92183892.16874005,0.04046974421959415
2024-05-17,0.0,100000000.0,0.0,92671627.26943474,-0.005290892901353095
2024-05-18,0.0,100000000.0,0.0,91845018.32153775,0.008919762954994637
2024-05-19,0.0,100000000.0,0.0,91905853.05972186,-0.0006623629598627723
2024-05-20,0.0,100000000.0,0.0,89507348.72783944,0.026097405682354413
2024-05-21,0.0,100000000.0,0.0,92133560.14492415,-0.029340735195610534
2024-05-22,0.0,100000000.0,0.0,94537264.09911661,-0.02608934193372625
2024-05-23,0.0,100000000.0,0.0,94850464.38384333,-0.0033129823219588683
2024-05-24,0.0,100000000.0,0.0,98385704.20361665,-0.03727171862297696
2024-05-25,0.0,100000000.0,0.0,99975646.59615655,-0.016160298952065277
2024-05-26,0.0,100000000.0,0.0,97346551.14512937,0.026297358812263583
2024-05-27,0.0,100000000.0,0.0,98612058.7525033,-0.01300002509063991
2024-05-28,0.0,100000000.0,0.0,95704556.82717584,0.029484243226527984
2024-05-29,0.0,100000000.0,0.0,98509696.5923704,-0.029310409641832624
2024-05-30,0.0,100000000.0,0.0,98470526.26529396,0.0003976291515599417
2024-05-31,0.0,100000000.0,0.0,98006179.08161397,0.004715595633448366
2024-06-01,0.0,100000000.0,0.0,95988256.80464585,0.020589745420926175
2024-06-02,0.0,100000000.0,0.0,99858630.29588145,-0.04032132283756895
2024-06-03,0.0,100000000.0,0.0,99484665.37480538,0.0037449434262017967
2024-06-04,0.0,100000000.0,0.0,98240461.37137944,0.012506490309219465
2024-06-05,0.0,100000000.0,0.0,97251349.5261673,0.010068273615623347
2024-06-06,0.0,100000000.0,0.0,99024620.31872633,-0.018233893937707135
2024-06-07,0.0,100000000.0,0.0,100301464.57419313,-0.012894210059650524
2024-06-08,0.0,100000000.0,0.0,101746552.26514168,-0.014407443571071932
2024-06-09,0.0,100000000.0,0.0,103271353.78224261,-0.014986272096251918
2024-06-10,0.06834087632024022,106834087.63202402,0.0,110472746.51290564,-0.0013918469076148465
2024-06-11,-0.012104986434148923,105540862.45053369,-0.01210498643414896,109168584.75003001,-0.0002997059098409638
2024-06-12,-0.01549606552727123,103905394.3301955,-0.02741347229842986,107510121.01073062,-0.00030429819698218896
2024-06-13,-0.025155419352440256,101291610.56283876,-0.05187929425929663,104839491.41229033,-0.00031469204850820276
2024-06-14,0.02062988013753042,103381244.34768754,-0.03231967774395512,107031825.82224913,-0.0002814613848853842
2024-06-15,0.0370707089643727,107213660.36927536,0.0,111027014.91860054,-0.000256404402695809
2024-06-16,-0.0027503287903015705,106918787.55244812,-0.002750328790301618,110755407.46191135,-0.0003040101453455346
2024-06-17,-0.026030120247293342,104135678.65576309,-0.028708857648463804,107910654.01685771,-0.00034511298449269034
2024-06-18,-0.025536688150364695,101476398.30460428,-0.053512416653906485,105193096.97096257,-0.00035328924824507
2024-06-19,0.021772109985180865,103685753.60939214,-0.03290538488968735,107509340.53431183,-0.0002468592252096169
2024-06-20,0.024750519833563356,106252029.91055936,-0.00896929043746727,110195368.24840768,-0.00023361364494678405
2024-06-21,0.01833425727783733,108200081.96323203,0.0,112242901.39787653,-0.00024667930792920956
2024-06-22,-0.02046094756370631,105986205.75979361,-0.020460947563706318,109987233.18500887,-0.0003646369304680652
2024-06-23,0.008358541017809973,106872095.8079589,-0.012273430215370758,110936330.87528461,-0.00027062132032495967
2024-06-24,0.004651498722574532,107369211.22508848,-0.007679021337764702,111483684.7293361,-0.00028244716992875674
2024-06-25,0.007930244436167744,108220675.31502195,0.0,112397631.88930371,-0.00026779065916060496
2024-06-26,0.028911031484616156,111349446.66634098,0.0,115666798.039621,-0.00017468940972564795
2024-06-27,0.008091431422193596,112250423.07794088,0.0,116633200.79511428,-0.00026362613859620687
2024-06-28,0.02273350883978531,114802269.0632529,0.0,119307044.2176457,-0.00019172517851528958
2024-06-29,0.0030776848323110784,115155594.26546377,0.0,119708217.75972125,-0.0002848453913335547
2024-06-30,0.01020516256319648,116330775.82500432,0.0,120959386.59501499,-0.00024665819488300933
2024-07-01,0.02121737457376205,118799009.47013979,0.0,123548065.42891572,-0.0001838486530711947
2024-07-02,-0.0459892653158831,113335530.30435342,-0.04598926531588313,117935402.0651375,-0.0005602790805017133
2024-07-03,-0.009388162601278949,112271517.91735397,-0.05494567321646317,116870506.83786368,-0.0003586836778454172
2024-07-04,-0.01424605200778617,110672092.03411025,-0.0684089663060048,115251625.34975329,-0.0003941270704167499
2024-07-05,-0.019681914115283528,108493853.42373614,-0.08674446102173819,113033712.56705306,-0.0004378229714966375
2024-07-06,-0.00796390333785435,107629818.86231817,-0.09401753985692109,112174141.81764682,-0.0003593512986003189
2024-07-07,0.049121209038872404,112916725.69347008,-0.049514586046681026,117674951.0648029,8.308707937176862e-05
2024-07-08,-0.02701529948132908,109866246.53240989,-0.07519223415726502,114555788.7126539,-0.0005087037791452476
2024-07-09,0.03214974988363384,113398418.87908052,-0.04545989579497891,118242756.15842485,-3.515746329352254e-05
2024-07-10,-0.053393721583895326,107343655.27339695,-0.09642634435956424,112017058.34416528,-0.0007418888921894018
2024-07-11,-0.009906070850522197,106280301.41890465,-0.1053772090110038,110951068.06401816,-0.00038974989097739776
2024-07-12,0.0061662229645675914,106935649.45419507,-0.09986076541258185,111662053.39062594,-0.00024187511879247836
2024-07-13,0.019851164007179012,109058446.5697245,-0.0819919538374904,113890729.11111124,-0.00010795059631796278
